Name,Core Values,Organisations,How We Support It,Why We Support It,SDGs,Description,Committed to,CSR
Design Declares,"Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21), Collaboration (https://www.notion.so/Collaboration-1d1d6625c67980c8a027fd8f35b4d126?pvs=21), Impact (https://www.notion.so/Impact-1d1d6625c67980acb689fdb4b1a12cd7?pvs=21)",,"We support Design Declares by actively promoting sustainable design practices, engaging in community outreach to raise awareness about the Sustainable Development Goals (SDGs), and collaborating with other organizations to share resources and knowledge. Our commitment includes organizing workshops, participating in events that align with these values, and integrating sustainability into our design processes.","We support Design Declares because it aligns with our commitment to sustainability and the Sustainable Development Goals (SDGs). By promoting responsible design practices, we can contribute to a better future and address pressing global challenges such as climate change, inequality, and resource depletion. Supporting initiatives like Design Declares helps foster a community of professionals dedicated to making a positive impact through their work.","SDG 13 - Climate Action (https://www.notion.so/SDG-13-Climate-Action-cc070ddaf49442a78210e3a19895e558?pvs=21), SDG 04 - Quality Education (https://www.notion.so/SDG-04-Quality-Education-664fd4912f944287bc61077f794f8817?pvs=21), SDG 16 - Peace, Justice and Strong Institutions (https://www.notion.so/SDG-16-Peace-Justice-and-Strong-Institutions-24522da63344404ebf463878a7ec4e0f?pvs=21), SDG 17 - Partnerships for the Goals (https://www.notion.so/SDG-17-Partnerships-for-the-Goals-1ebc9e2a75f94c97a28420419d084104?pvs=21)",Design Declares is committed to the Sustainable Development Goals (SDGs) and is currently active with a published status. More information can be found at their website.,"Amplify Voices for Change (https://www.notion.so/Amplify-Voices-for-Change-1ccd6625c679806fa11ceb65b42fd625?pvs=21), Design for Justice (https://www.notion.so/Design-for-Justice-1ccd6625c679803785e2dcf7f9bd7a0b?pvs=21), Educate, Accelerate (https://www.notion.so/Educate-Accelerate-1ccd6625c679804ab477f113d205940b?pvs=21), Redefine ‘Good’ (https://www.notion.so/Redefine-Good-1ccd6625c679807f85f8c6b1ff45b148?pvs=21), Measure What We Make (https://www.notion.so/Measure-What-We-Make-1ccd6625c679800ba964fbef71edddbc?pvs=21), Bring Clients with Us (https://www.notion.so/Bring-Clients-with-Us-1ccd6625c67980959a5cd0df17681ffa?pvs=21), Start the Journey (https://www.notion.so/Start-the-Journey-1ccd6625c67980c9a508e786c4764d60?pvs=21), Sound the Alarm (https://www.notion.so/Sound-the-Alarm-1ccd6625c6798008ac9dc6bdf7fe0121?pvs=21)",
Disability Confident,"Continuous Improvement (https://www.notion.so/Continuous-Improvement-1d1d6625c67980ccb087ce9d21f124a7?pvs=21), Impact (https://www.notion.so/Impact-1d1d6625c67980acb689fdb4b1a12cd7?pvs=21), Collaboration (https://www.notion.so/Collaboration-1d1d6625c67980c8a027fd8f35b4d126?pvs=21)",Department for Work and Pensions (https://www.notion.so/Department-for-Work-and-Pensions-1d6d6625c67981fe96cfecfdff1df555?pvs=21),"We support the Disability Confident initiative by promoting inclusivity and ensuring that our recruitment processes are accessible to all individuals, regardless of their disabilities. We provide training for staff on disability awareness, make necessary accommodations for employees, and actively seek to engage with the disabled community to understand their needs and challenges.","We support the Disability Confident initiative because it promotes inclusivity and equality in the workplace. By fostering a culture that values and supports individuals with disabilities, we can enhance diversity, improve employee morale, and contribute to a more equitable society. Additionally, supporting this initiative aligns with our commitment to creating an environment where everyone has the opportunity to thrive and succeed.","SDG 10 - Reduced Inequality (https://www.notion.so/SDG-10-Reduced-Inequality-12018ab7700242c3aadf3ea46617a79a?pvs=21), SDG 03 - Good Health and Well-being (https://www.notion.so/SDG-03-Good-Health-and-Well-being-1588cfac47c349b3980ff73dfdb28752?pvs=21)",,,
LEAD statement,"Collaboration (https://www.notion.so/Collaboration-1d1d6625c67980c8a027fd8f35b4d126?pvs=21), Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21), Impact (https://www.notion.so/Impact-1d1d6625c67980acb689fdb4b1a12cd7?pvs=21)",,"We support the LEAD statement by embodying our core values and making a commitment to our stakeholders and community. Although specific core values and commitments are not listed in the document, we ensure that our actions align with our principles to foster a positive environment. We strive to promote collaboration, accountability, and respect in all our endeavors, reinforcing our dedication to our mission and vision.","We support the LEAD statement because it embodies our core values and commitment to fostering a culture of excellence, integrity, and collaboration. By adhering to these principles, we aim to create a positive impact within our organization and the community, ensuring that our actions align with our mission and vision.","SDG 16 - Peace, Justice and Strong Institutions (https://www.notion.so/SDG-16-Peace-Justice-and-Strong-Institutions-24522da63344404ebf463878a7ec4e0f?pvs=21)",No content,"Leave obstructing trade associations; (https://www.notion.so/Leave-obstructing-trade-associations-1ccd6625c67980d297b7dfe6ee625db4?pvs=21), Elevate climate policy as a company priority (https://www.notion.so/Elevate-climate-policy-as-a-company-priority-1ccd6625c679801b866bef8676f44343?pvs=21), Advocate publicly for effective binding climate policies (https://www.notion.so/Advocate-publicly-for-effective-binding-climate-policies-1ccd6625c67980b0ac24cda2640d64d2?pvs=21), Demonstrate real commitment to the collective action needed to achieve the just and equitable transition from fossil fuels agreed on at COP28. (https://www.notion.so/Demonstrate-real-commitment-to-the-collective-action-needed-to-achieve-the-just-and-equitable-transi-1ccd6625c67980b799f6d204ee63ea69?pvs=21)",
Make Pledge - edie,,,"To support your sustainable future initiatives, we encourage you to participate in the ""Mission Possible"" by submitting your own Mission Possible Pledge through the provided form. This allows your organization to publicly commit to sustainability goals while sharing your targeted pledge details, expected benefits, and contact information with the edie editorial team for further engagement.","We support the ""Make Pledge - edie"" initiative because it encourages businesses to actively participate in creating a sustainable future. By submitting a Mission Possible Pledge, organizations can clearly outline their commitment to sustainability and the positive impacts they aim to achieve. This collective effort not only raises awareness but also fosters accountability, collaboration, and innovation within industries, ultimately contributing to a healthier planet for future generations.",,,,
Net Zero Carbon Events,"Integrity (https://www.notion.so/Integrity-1d1d6625c67980018766c3033d14a77b?pvs=21), Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21)",Net Zero Carbon Events (https://www.notion.so/Net-Zero-Carbon-Events-21bd6625c67981ce95dfe1219b4bcef8?pvs=21),"We support Net Zero Carbon Events by promoting sustainable practices, reducing carbon footprints, and encouraging the use of renewable resources in event planning and execution. Our initiatives include offering resources for carbon offsetting, educating stakeholders on sustainability, and collaborating with partners who share a commitment to environmental responsibility.","We support Net Zero Carbon Events because they align with our commitment to sustainability and environmental responsibility. By reducing carbon emissions and promoting eco-friendly practices, we contribute to the global efforts in combating climate change and ensuring a healthier planet for future generations.","SDG 15 - Life on Land (https://www.notion.so/SDG-15-Life-on-Land-627b495b0b67465491650342778133f6?pvs=21), SDG 13 - Climate Action (https://www.notion.so/SDG-13-Climate-Action-cc070ddaf49442a78210e3a19895e558?pvs=21)",No content,"Collaborate with partners, suppliers and customers to drive change across the value chain (https://www.notion.so/Collaborate-with-partners-suppliers-and-customers-to-drive-change-across-the-value-chain-1ccd6625c679803692f9cb79cb233f9d?pvs=21), Measure and track our Scope 1, 2 and 3 GHG emissions according to industry best practice (https://www.notion.so/Measure-and-track-our-Scope-1-2-and-3-GHG-emissions-according-to-industry-best-practice-1ccd6625c6798065a6ffcf8312956504?pvs=21), Report on our progress at least every two years (https://www.notion.so/Report-on-our-progress-at-least-every-two-years-1ccd6625c67980a0999ce34bea420375?pvs=21), Within 1.5 years after signing the pledge, publish the organisation’s pathway to achieve net zero by 2050 at the latest, with an interim target in line with the Paris Agreement’s requirement to reduce global GHG emissions by 50% by 2030 (https://www.notion.so/Within-1-5-years-after-signing-the-pledge-publish-the-organisation-s-pathway-to-achieve-net-zero-by-1ccd6625c679809e982ec953c34aecd2?pvs=21)",
Plant Based Treaty,"Impact (https://www.notion.so/Impact-1d1d6625c67980acb689fdb4b1a12cd7?pvs=21), Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21)",Plant Based Treaty (https://www.notion.so/Plant-Based-Treaty-21cd6625c67981ae8c52c5af545231c0?pvs=21),"We support the Plant Based Treaty by advocating for local, national, and global policies that prioritize plant-based food systems, raising awareness about the environmental and health benefits of plant-based diets, and encouraging individuals, organizations, and governments to endorse the treaty's principles and proposals. By participating in campaigns, educating our communities, and promoting sustainable practices, we aim to contribute to the transition towards a healthier and more sustainable food system that combats climate change and protects ecosystems.","We support the Plant Based Treaty because it aims to address climate change through sustainable food systems, focusing on promoting plant-based diets which can significantly reduce greenhouse gas emissions and protect ecosystems. By endorsing this initiative, we contribute to a global movement advocating for healthier food choices, environmental preservation, and the well-being of future generations. The treaty emphasizes collaboration among individuals, groups, and governments to create effective policies that prioritize food security and biodiversity while combating the detrimental impacts of animal agriculture.","SDG 12 - Responsible Consumption and Production (https://www.notion.so/SDG-12-Responsible-Consumption-and-Production-a1af83b5e5b7482999be10084f61927c?pvs=21), SDG 02 - Zero Hunger (https://www.notion.so/SDG-02-Zero-Hunger-73f72acfb810479095df901de05a6ad0?pvs=21), SDG 15 - Life on Land (https://www.notion.so/SDG-15-Life-on-Land-627b495b0b67465491650342778133f6?pvs=21), SDG 14 - Life Below Water (https://www.notion.so/SDG-14-Life-Below-Water-1204897701a9442c9c1c96a5fd8ef271?pvs=21)","We are a grassroots initiative creating bottom-up pressure for the negotiation of a global Plant Based Treaty as a companion to the UNFCCC Paris Agreement. Modeled on the Fossil Fuel Treaty, the Plant Based Treaty aims to put food systems at the forefront of combating the climate crisis to halt the widespread degradation of critical ecosystems caused by animal agriculture and to promote a shift towards healthier, sustainable plant-based diets.","Eliminate the driving forces behind the problem (https://www.notion.so/Eliminate-the-driving-forces-behind-the-problem-1ccd6625c6798050aeb2dca2a4d94ecc?pvs=21), Stop the problem increasing (https://www.notion.so/Stop-the-problem-increasing-1ccd6625c6798074b4ccfed8c0f8b299?pvs=21), Actively healing the problem while building resilience and mitigating climate change (https://www.notion.so/Actively-healing-the-problem-while-building-resilience-and-mitigating-climate-change-1ccd6625c6798094b924f98c670a1ea9?pvs=21)",
Pledge to Net Zero,,,"We support the commitment to achieving Net Zero by implementing sustainable practices, investing in renewable energy, and promoting energy efficiency across all operations. Our initiatives include reducing carbon emissions, enhancing resource conservation, and collaborating with stakeholders to foster a shared responsibility towards a sustainable future.","We support the pledge to net zero because it represents a commitment to sustainability and environmental responsibility. Achieving net zero emissions is crucial for combating climate change, protecting ecosystems, and ensuring a healthier planet for future generations. By taking this pledge, we contribute to a collective effort to reduce our carbon footprint and promote a sustainable future for all.",,,"Publicly report greenhouse gas emissions and progress against this target each year. (https://www.notion.so/Publicly-report-greenhouse-gas-emissions-and-progress-against-this-target-each-year-1e7d6625c679800a9027dc91574c4e9e?pvs=21), Set and commit to deliver greenhouse gas reductions in line with Science Based Targets’ 1.5°C climate change scenario. For those in the environmental consultancy sector it must cover buildings and travel as a minimum. (https://www.notion.so/Set-and-commit-to-deliver-greenhouse-gas-reductions-in-line-with-Science-Based-Targets-1-5-C-climat-1e7d6625c67980769bc1f704dadc2536?pvs=21), Publish one piece of research/thought-leadership each year on practical steps to delivering an economy in line with climate science and in support of net zero carbon. Alternatively, signatories may choose to provide mentoring and support for smaller signatory companies in setting targets, reporting and meeting the requirements of the pledge. (https://www.notion.so/Publish-one-piece-of-research-thought-leadership-each-year-on-practical-steps-to-delivering-an-econo-1e7d6625c6798009adfad031fbf2c90a?pvs=21)",
Race to Zero,"Innovation (https://www.notion.so/Innovation-1d1d6625c67980f5ae46e753a778e3b0?pvs=21), Impact (https://www.notion.so/Impact-1d1d6625c67980acb689fdb4b1a12cd7?pvs=21)",Race to Zero (https://www.notion.so/Race-to-Zero-10ad6625c6798061900ae2dc2b6ab32c?pvs=21),"The ""Race to Zero"" initiative supports the transition to net-zero greenhouse gas emissions through a series of pledges and actions that organizations can take. These include committing to ambitious targets for reducing emissions, protecting nature, and ensuring that the transition is just and equitable. Participants are encouraged to create transition plans, immediately act on their commitments, publish progress reports, and advocate for policies that align with the goal of limiting global warming to 1.5°C. The initiative emphasizes collaboration and accountability, urging organizations to empower stakeholders and contribute to global efforts beyond their immediate operations.","We support the Race to Zero initiative because it aligns with our commitment to achieving net-zero greenhouse gas emissions by 2050, which is essential for limiting global warming to 1.5°C. This initiative emphasizes the importance of setting ambitious interim targets, protecting biodiversity, and ensuring a just transition for communities affected by climate change. By participating, we can contribute to significant emissions reductions, promote sustainable practices, and empower stakeholders in our ecosystem, thereby fostering a collective effort towards a more sustainable and equitable future.","SDG 12 - Responsible Consumption and Production (https://www.notion.so/SDG-12-Responsible-Consumption-and-Production-a1af83b5e5b7482999be10084f61927c?pvs=21), SDG 13 - Climate Action (https://www.notion.so/SDG-13-Climate-Action-cc070ddaf49442a78210e3a19895e558?pvs=21), SDG 11 - Sustainable Cities and Communities (https://www.notion.so/SDG-11-Sustainable-Cities-and-Communities-17fa5cdabac4430189085f5ccb443520?pvs=21), SDG 17 - Partnerships for the Goals (https://www.notion.so/SDG-17-Partnerships-for-the-Goals-1ebc9e2a75f94c97a28420419d084104?pvs=21), SDG 09 - Industry, Innovation and Infrastructure (https://www.notion.so/SDG-09-Industry-Innovation-and-Infrastructure-f26fae29951e4bb4994f7ea3a0fd0917?pvs=21), SDG 08 - Decent Work and Economic Growth (https://www.notion.so/SDG-08-Decent-Work-and-Economic-Growth-8f9f9442810b42ce90273bebe3da1486?pvs=21)",No content,"Plan  – within 12 months of joining, publicly disclose a transition plan which sets out how your organisation will deliver your 2030 carbon targets (https://www.notion.so/Plan-within-12-months-of-joining-publicly-disclose-a-transition-plan-which-sets-out-how-your-org-1e7d6625c679800bac4bc71517241fdc?pvs=21), Process – you need to be taking fast action to meet your carbon targets (your targets should cover scopes 1, 2 and 3 emissions). (https://www.notion.so/Process-you-need-to-be-taking-fast-action-to-meet-your-carbon-targets-your-targets-should-cover-s-1e7d6625c6798072b73afd86b00afb78?pvs=21), Persuade – within 12 months of joining, align external policy and engagement including association membership to the goal of halving emissions by 2030 and net zero by 2050. This includes proactively supporting climate policies at the subnational and national level consistent with the Race to Zero criteria (https://www.notion.so/Persuade-within-12-months-of-joining-align-external-policy-and-engagement-including-association-m-1e7d6625c67980efbd81fd876ae50111?pvs=21)",
SDG18,"Collaboration (https://www.notion.so/Collaboration-1d1d6625c67980c8a027fd8f35b4d126?pvs=21), Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21), Impact (https://www.notion.so/Impact-1d1d6625c67980acb689fdb4b1a12cd7?pvs=21)",Space Renaissance International (https://www.notion.so/Space-Renaissance-International-21cd6625c67981aba8cbe6f4f3f02124?pvs=21),"We support SDG18 by advocating for policies that promote the sustainable development of space communities. This includes engaging with stakeholders, conducting research on the implications of space colonization, and raising public awareness about the importance of expanding life into space to achieve the existing Sustainable Development Goals (SDGs) on Earth. Additionally, we collaborate with international space organizations to ensure that space exploration and development are conducted responsibly and sustainably.","We support the Space 18th Sustainable Development Goal (SDG) because it represents a critical step towards ensuring the long-term sustainability of life on Earth and beyond. By advocating for the expansion of human presence into space, we can address pressing challenges such as resource scarcity, climate change, and the need for innovation in sustainability practices. This initiative aligns with our commitment to achieving the existing 17 SDGs and promotes a future where humanity can thrive in harmony with its environment, both on our planet and in outer space.","Baseline (https://www.notion.so/Baseline-b8d6455fa2db4c52b62824a20810f517?pvs=21), SDG 09 - Industry, Innovation and Infrastructure (https://www.notion.so/SDG-09-Industry-Innovation-and-Infrastructure-f26fae29951e4bb4994f7ea3a0fd0917?pvs=21)","Only by expanding the domain of life into space can we fulfill the 17 SDGs on Earth in the long term. Therefore, the Space Renaissance International and the National Space Society, in partnership with many other space organizations, urge UN COPUOS State Parties to develop and introduce a resolution for a Space 18th Sustainable Development Goal (SDG), calling for the expansion of community life into space to achieve universal and sustainable development for the whole humanity, life, and the life support environment, on Earth and beyond.”","Supporting a resolution for a Space 18th Sustainable Development Goal (SDG), calling for the expansion of community life into space to achieve universal and sustainable development for the whole humanity, life, and the life support environment, on Earth and beyond (https://www.notion.so/Supporting-a-resolution-for-a-Space-18th-Sustainable-Development-Goal-SDG-calling-for-the-expansi-1cdd6625c67980ea8c53f317a6664760?pvs=21)",
SME Climate Hub,"Impact (https://www.notion.so/Impact-1d1d6625c67980acb689fdb4b1a12cd7?pvs=21), Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21), Innovation (https://www.notion.so/Innovation-1d1d6625c67980f5ae46e753a778e3b0?pvs=21)",SME Climate Hub (https://www.notion.so/SME-Climate-Hub-10ad6625c67980498e7fd38bad96f45b?pvs=21),"We support the SME Climate Hub by providing resources, tools, and guidance to help small and medium-sized enterprises (SMEs) transition towards sustainable practices. This includes access to climate action frameworks, networking opportunities with like-minded businesses, and educational materials to enhance their understanding of environmental responsibilities.","We support the SME Climate Hub because it provides valuable resources and guidance for small and medium-sized enterprises (SMEs) to take actionable steps towards sustainability. By fostering a community of committed businesses, it helps drive collective action in combating climate change and promotes best practices for reducing carbon footprints.",SDG 13 - Climate Action (https://www.notion.so/SDG-13-Climate-Action-cc070ddaf49442a78210e3a19895e558?pvs=21),No content,"Halve our greenhouse gas emissions before 2030 (https://www.notion.so/Halve-our-greenhouse-gas-emissions-before-2030-1cdd6625c6798031b1e1e82a3b618dbf?pvs=21), Achieve net zero emissions before 2050 (https://www.notion.so/Achieve-net-zero-emissions-before-2050-1cdd6625c679802fac36c88a77ec27f2?pvs=21), Disclose our progress on a yearly basis (https://www.notion.so/Disclose-our-progress-on-a-yearly-basis-1cdd6625c67980638956da88e17e6b40?pvs=21)",
